Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
United States/Canada LDPE Quarterly Supply/Demand,Other,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_OTHER_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Other Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Other
United States/Canada LDPE Quarterly Supply/Demand,Domestic Demand,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_DOMESTIC_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Domestic Demand,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Domestic Demand
United States/Canada LDPE Quarterly Supply/Demand,Domestic Demand,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_DOMESTIC_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Domestic Demand Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Domestic Demand
United States/Canada LDPE Quarterly Supply/Demand,Exports,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_EXP_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Exports,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Export
United States/Canada LDPE Quarterly Supply/Demand,Exports,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_EXP_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Exports Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Export
United States/Canada LDPE Quarterly Supply/Demand,Total Demand,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_TOTAL_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Total Demand,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Total Demand
United States/Canada LDPE Quarterly Supply/Demand,Total Demand,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_TOTAL_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Total Demand Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Total Demand
United States/Canada LDPE Quarterly Supply/Demand,Inventory Change,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_INVCH_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Demand Inventory Change,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Inventory Change
United States/Canada LDPE Quarterly Supply/Demand,Inventory Change,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_INVCH_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Demand Inventory Change Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Demand,Inventory Change
United States/Canada LLDPE Quarterly Supply/Demand,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_NPC_US_CA.QUARTERLY,IHS US and Canada LLDPE Market Quarterly Supply Nameplate Capacity,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LLDPE,North America,NA,US-Canada,US-CA,Supply,Nameplate Capacity
United States/Canada LLDPE Quarterly Supply/Demand,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LLDPE_NPC_US_CA.QUARTERLY.FORECAST,IHS US and Canada LLDPE Market Quarterly Supply Nameplate Capacity Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LLDPE,North America,NA,US-Canada,US-CA,Supply,Nameplate Capacity
United States/Canada LLDPE Quarterly Supply/Demand,Operating Rates (%),IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LLDPE_OPRT_US_CA.QUARTERLY,IHS US and Canada LLDPE Market Quarterly Supply Operating Rates,CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LLDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LLDPE,North America,NA,US-Canada,US-CA,Supply,Operating Rates (%)
