Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
West Europe - Quarterly LDPE Balance,Pipe/Conduit,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_PC_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Pipe/Conduit Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Pipe/Conduit
West Europe - Quarterly LDPE Balance,All Other,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_OTHER_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand All Other,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,All Other
West Europe - Quarterly LDPE Balance,All Other,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_OTHER_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand All Other Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,All Other
West Europe - Quarterly LDPE Balance,Domestic Demand,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_DOMESTIC_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Domestic Demand,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Domestic Demand
West Europe - Quarterly LDPE Balance,Domestic Demand,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_DOMESTIC_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Domestic Demand Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Domestic Demand
West Europe - Quarterly LDPE Balance,Exports,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_EXP_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Exports,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Exports
West Europe - Quarterly LDPE Balance,Exports,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_EXP_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Exports Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Exports
West Europe - Quarterly LDPE Balance,Total Demand,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_TOTAL_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Total Demand,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Total Demand
West Europe - Quarterly LDPE Balance,Total Demand,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_TOTAL_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Total Demand Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Total Demand
West Europe - Quarterly LDPE Balance,NET Inventory,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_NET_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Supply NET Inventory,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,NET Inventory
